id,tradition,chunk_index,text,model,filename,chunking
ainu_folk_tales,ainu_folk_tales,0,"Produced by Julie Barkley, Meredith Bach, and the Online
Distributed Proofreading Team at https://www.pgdp.net

[Transcriber's Note:

The substitution [= ] have been used in this version of the text. When
 used, it indicates that the vowel it surrounds is a long vowel with a
 macron (dash) above it.]

AINO FOLK-TALES.

BY
 BASIL HALL CHAMBERLAIN.

WITH INTRODUCTION
 BY
 EDWARD B. TYLOR, D.C.L., F.R.S.

Privately Printed
 FOR
 THE FOLK-LORE SOCIETY.
 1888.
 XXII.

List of Officers of the Society.
 1887-1888.

PRESIDENT.

THE RIGHT HON. THE EARL OF STRAFFORD.

VICE-PRESIDENTS.

ANDREW LANG, M.A.
 W. R. S. RALSTON, M.A.
 EDWARD B. TYLOR, LL.D., F.R.S.

DIRECTOR.

G. L. GOMME, F.S.A., 1, Beverley Villas, Barnes Common, S.W.

COUNCIL.",BAAI/bge-m3,ainu_folk_tales,paragraph
ainu_folk_tales,ainu_folk_tales,1,"COUNCIL.

A. MACHADO Y ALVAREZ.
 THE EARL BEAUCHAMP, F.S.A.
 EDWARD BRABROOK, F.S.A.
 DR. D. G. BRINTON
 JAMES BRITTEN, F.L.S.
 LOYS BRUEYRE.
 MISS C. S. BURNE.
 EDWARD CLODD.
 PROFESSOR D. COMPARETTI.
 G. L. GOMME, F.S.A.
 A. GRANGER HUTT, F.S.A.
 SIR JOHN LUBBOCK, Bt., F.R.S.
 SIR HENRY MAINE, K.C.S.I.
 REV. DR. RICHARD MORRIS.
 ALFRED NUTT.
 EDWARD PEACOCK, F.S.A.
 Z. D. PEDROSO.
 PROFESSOR A. H. SAYCE, M.A.
 CAPTAIN R. C. TEMPLE.
 HENRY B. WHEATLEY, F.S.A.

AUDITORS.

G. L. APPERSON.
 JOHN TOLHURST, F.S.A.

LOCAL SECRETARIES.

IRELAND: G. H. KINAHAN, R.I.A.
 SOUTH SCOTLAND: WILLIAM GEORGE BLACK.
 NORTH SCOTLAND: REV. WALTER GREGOR.
 INDIA: CAPTAIN R. C. TEMPLE.
 CHINA: J. STEWART LOCKHART.

HONORARY SECRETARIES.

A. GRANGER HUTT, F.S.A., 8, Oxford Road, Kilburn, N.W.
 J. J. FOSTER, 36, Alma Square, St. John's Wood, N.W.

INTRODUCTION.",BAAI/bge-m3,ainu_folk_tales,paragraph
ainu_folk_tales,ainu_folk_tales,2,"Twelve hundred years ago a Chinese historian stated that ""on the eastern
frontier of the land of Japan there is a barrier of great mountains,
beyond which is the land of the Hairy Men."" These were the Aino, so
named from the word in their own language signifying ""man."" Over most of
the country of these rude and helpless indigenes the Japanese have long
since spread, only a dwindling remnant of them still inhabiting the
island of Yezo. Since the early days when a couple of them were sent as
curiosities to the Emperor of China their uncouth looks and habits have
made them objects of interest to more civilised nations. Many European
writers have described them, but hardly any with such opportunities as
Mr. Basil Hall Chamberlain, Professor of Philology at the T[=o]ky[=o]
University, who has taken down from the Ainos the present collection of
their tales, and prefaced it with an account of their ways and state of
mind. It would hardly be for me to offer information on a subject so
",BAAI/bge-m3,ainu_folk_tales,paragraph
ainu_folk_tales,ainu_folk_tales,3,"excellently handled, but the request of the Editor of the _Folk-Lore
Journal_ that I would write an Introduction enables me to draw attention
to the views put forward by Professor Chamberlain in another
publication,[A] which, being printed in Japan, may be overlooked by many
English folk-lore students, even of those interested in the curious Aino
problem.",BAAI/bge-m3,ainu_folk_tales,paragraph
ainu_folk_tales,ainu_folk_tales,4,"As is well known, the hairiness of the Ainos marks them sharply off from
the smooth-faced Japanese. No one can look at photographs of Ainos
without admitting that the often-repeated comparison of them to bearded
Russian peasants is much to the purpose. The likeness is much
strengthened by the bold quasi-European features of the Ainos
contrasting extremely with the Japanese type of face. Of course all
this has suggested a theory of the Ainos belonging to the Aryan race;
and, although the idea comes to nothing when examined strictly, its
existence is an acknowledgment of the special Aino race-type. Mention
must also be made of an anatomical peculiarity of the Aino skeleton,
consisting of a remarkable flattening of the arm-and leg-bones. On the
whole it is evident that the Ainos are an ancient race in this part of
Asia, and so far isolated that anthropology has not yet the means of
settling their physical connection with other Asiatic tribes. Professor
",BAAI/bge-m3,ainu_folk_tales,paragraph
ainu_folk_tales,ainu_folk_tales,5,"Chamberlain's careful examination of the Aino language leads him to a
similar result. It is made not only from his own knowledge, but with the
advantage of working with the Rev. John Batchelor, who has lived as a
missionary among the Ainos for years, and written the Grammar printed as
a part of these Aino Studies. In structure the resemblances which the
Aino presents to Japanese are outweighed by the differences; and, though
it may ultimately prove to fall into a north-east Asiatic group of
languages, this is so far from being made out that it is safest for the
present to treat both race and language as isolated. Inasmuch as the
little civilisation now possessed by the Ainos has in great measure been
learnt from the Japanese, it is natural that their modern language
should have picked up numbers of Japanese words, from the name of kamui
which they give to their gods, down to the rice-beer or sake in which
they seek continual drunkenness, now their main source of enjoyment. One
",BAAI/bge-m3,ainu_folk_tales,paragraph
ainu_folk_tales,ainu_folk_tales,6,"purpose which their language serves is to prove how widely they once
spread over the country now Japan, where place-names alone remain to
indicate a former Aino population. Some of these are unmistakeably Aino,
as Yamashiro, which must have meant ""land of chestnut trees,"" and
Shikyu, ""place of rushes."" Others, if interpreted as Japanese, have a
far-fetched sense, as, for instance, the villages of Mennai and Tonami,
which, if treated as Japanese, would signify ""inside permission"" and
""hares in a row""; whereas, if taken to be originally Aino they may bear
the reasonable sense of ""bad stream"" and ""stream from the lake."" The
inference from records and local names, worked out with great care by
Professor Chamberlain, is ""that the Ainos were truly the predecessors of
the Japanese all over the Archipelago. The dawn of history shows them
to us living far to the south and west of their present haunts; and ever
since then, century by century, we see them retreating eastwards and
northwards, as steadily as the American Indian has retreated westwards
under the pressure of the colonists from Europe.""",BAAI/bge-m3,ainu_folk_tales,paragraph
ainu_folk_tales,ainu_folk_tales,7,"As with their language, so with their folk-lore, which largely shows
itself adopted from the Japanese. In the present collection the stories
of the Salmon-king (xxxiv.), the Island of Women (xxxiii.), and others,
are based on episodes of Japanese tales, sometimes belonging to
world-wide cycles of myth, as in the theme of the mortal who eats the
deadly food of Hades (xxxv.), which has its typical example in the story
of Persephone. On reading the short but curious tale (xvi.), How it was
settled who should rule the World, one sees at once that the cunning
Fox-god has come in from the well-known fox mythology of Japan; and as
to the very clever mythic episode of looking for the sunrise in the
west, I find, on inquiry of a Japanese gentleman living in Oxford, Mr.
Tsneta Mori, that this belongs to the tale of the Wager of the
Phoenix, known to all Japanese children, and in which the Phoenix is
plainly derived from China. On the other hand, there is much genuine
",BAAI/bge-m3,ainu_folk_tales,paragraph
ainu_folk_tales,ainu_folk_tales,8,"Aino matter in the present collection. For instance, we learn from
Professor Chamberlain's above-mentioned treatise why it is that Panaumbe
(""on the lower course of the river"") does the clever things, while
Penaumbe (""on the upper course of the river"") is the stupid imitator who
comes to grief. It is simply the expression of the dislike and contempt
of the coast Ainos, who tell the stories, for the hill Ainos further up
the rivers. It is needless to mention here the many touches of Aino
ideas, morals, and customs, which their stories disclose, for it is in
noticing these that much of the interest consists which the reader will
feel in perusing them. Their most important characteristic indeed is
insisted on by Professor Chamberlain, in remarks of which the value must
not be overlooked. Of all the difficulties felt by the student of
folk-lore the greatest is that of judging how far those who tell and
listen really believe their childish wonder-tales of talking beasts and
",BAAI/bge-m3,ainu_folk_tales,paragraph
ainu_folk_tales,ainu_folk_tales,9,"the like, or how far they make and take them as conscious fun. We
ourselves are at the latter sceptical end, and many peoples we can
examine are in a halfway state, not altogether disbelieving that big
stones may once have been giants, or that it is a proper incident in a
hero's career to be swallowed by a monster and get out again, but at the
same time admitting that after all these may be only old wives' tales.
Even savage tribes under contact with civilised men are mostly in this
intermediate state, and thus Professor Chamberlain's statement as to the
place of folk-lore in the Aino mind, made, as it has been, under his
personal scrutiny, is a document of real consequence. He satisfied
himself that his Ainos were not making believe, like Europeans with
nursery tales, but that the explanatory myths of natural phenomena are
to them theorems of physical science, and the wonder-tales are told
under the impression that they really happened. Those who maintain the
",BAAI/bge-m3,ainu_folk_tales,paragraph
